id,identifier,species_id,height,weight,base_experience,order,is_default,identifier_jap,identifier_jap,type_jap
437,bronzong,437,13,1870,175,494,1,437,ドータクン,鉱物
438,bonsly,438,5,150,58,228,1,438,ウソハチ,未発見
439,mime-jr,439,6,130,62,146,1,439,マネネ,未発見
440,happiny,440,6,244,110,132,1,440,ピンプク,未発見
441,chatot,441,5,19,144,495,1,441,ペラップ,飛行
442,spiritomb,442,10,1080,170,496,1,442,ミカルゲ,不定形
443,gible,443,7,205,60,497,1,443,フカマル,怪獣ドラゴン
444,gabite,444,14,560,144,498,1,444,ガバイト,怪獣ドラゴン
445,garchomp,445,19,950,270,499,1,445,ガブリアス,怪獣ドラゴン
446,munchlax,446,6,1050,78,185,1,446,ゴンベ,未発見
447,riolu,447,7,202,57,501,1,447,リオル,未発見
448,lucario,448,12,540,184,502,1,448,ルカリオ,陸上人型
449,hippopotas,449,8,495,66,504,1,449,ヒポポタス,陸上
450,hippowdon,450,20,3000,184,505,1,450,カバルドン,陸上
451,skorupi,451,8,120,66,506,1,451,スコルピ,虫水中3
452,drapion,452,13,615,175,507,1,452,ドラピオン,虫水中3
453,croagunk,453,7,230,60,508,1,453,グレッグル,人型
454,toxicroak,454,13,444,172,509,1,454,ドクロッグ,人型
455,carnivine,455,14,270,159,510,1,455,マスキッパ,植物
456,finneon,456,4,70,66,511,1,456,ケイコウオ,水中2
457,lumineon,457,12,240,161,512,1,457,ネオラント,水中2
458,mantyke,458,10,650,69,273,1,458,タマンタ,未発見
459,snover,459,10,505,67,513,1,459,ユキカブリ,怪獣植物
460,abomasnow,460,22,1355,173,514,1,460,ユキノオー,怪獣植物
461,weavile,461,11,340,179,261,1,461,マニューラ,陸上
462,magnezone,462,12,1800,241,95,1,462,ジバコイル,鉱物
463,lickilicky,463,17,1400,180,126,1,463,ベロベルト,怪獣
464,rhyperior,464,24,2828,241,131,1,464,ドサイドン,怪獣陸上
465,tangrowth,465,20,1286,187,136,1,465,モジャンボ,植物
466,electivire,466,18,1386,243,155,1,466,エレキブル,人型
467,magmortar,467,16,680,243,158,1,467,ブーバーン,人型
468,togekiss,468,15,380,245,218,1,468,トゲキッス,飛行妖精
469,yanmega,469,19,515,180,238,1,469,メガヤンマ,虫
470,leafeon,470,10,255,184,173,1,470,リーフィア,陸上
471,glaceon,471,8,259,184,174,1,471,グレイシア,陸上
472,gliscor,472,20,425,179,253,1,472,グライオン,虫
473,mamoswine,473,25,2910,239,268,1,473,マンムー,陸上
474,porygon-z,474,9,340,241,178,1,474,ポリゴンＺ,鉱物
475,gallade,475,16,520,233,327,1,475,エルレイド,不定形
476,probopass,476,14,3400,184,344,1,476,ダイノーズ,鉱物
477,dusknoir,477,22,1066,236,412,1,477,ヨノワール,不定形
478,froslass,478,13,266,168,420,1,478,ユキメノコ,妖精鉱物
479,rotom,479,3,3,154,516,1,479,ロトム,不定形
480,uxie,480,3,3,261,522,1,480,ユクシー,未発見
481,mesprit,481,3,3,261,523,1,481,エムリット,未発見
482,azelf,482,3,3,261,524,1,482,アグノム,未発見
483,dialga,483,54,6830,306,525,1,483,ディアルガ,未発見
484,palkia,484,42,3360,306,526,1,484,パルキア,未発見
485,heatran,485,17,4300,270,527,1,485,ヒードラン,未発見
486,regigigas,486,37,4200,302,528,1,486,レジギガス,未発見
487,giratina-altered,487,45,7500,306,529,1,487,ギラティナA,未発見
488,cresselia,488,15,856,270,531,1,488,クレセリア,未発見
489,phione,489,4,31,216,532,1,489,フィオネ,水中1妖精
490,manaphy,490,3,14,270,533,1,490,マナフィ,水中1妖精
491,darkrai,491,15,505,270,534,1,491,ダークライ,未発見
492,shaymin-land,492,2,21,270,535,1,492,シェイミL,未発見
493,arceus,493,32,3200,324,537,1,493,アルセウス,未発見
494,victini,494,4,40,270,539,1,494,ビクティニ,未発見
495,snivy,495,6,81,62,540,1,495,ツタージャ,陸上植物
496,servine,496,8,160,145,541,1,496,ジャノビー,陸上植物
497,serperior,497,33,630,238,542,1,497,ジャローダ,陸上植物
498,tepig,498,5,99,62,543,1,498,ポカブ,陸上
499,pignite,499,10,555,146,544,1,499,チャオブー,陸上
500,emboar,500,16,1500,238,545,1,500,エンブオー,陸上
501,oshawott,501,5,59,62,546,1,501,ミジュマル,陸上
502,dewott,502,8,245,145,547,1,502,フタチマル,陸上
503,samurott,503,15,946,238,548,1,503,ダイケンキ,陸上
504,patrat,504,5,116,51,549,1,504,ミネズミ,陸上
505,watchog,505,11,270,147,550,1,505,ミルホッグ,陸上
506,lillipup,506,4,41,55,551,1,506,ヨーテリー,陸上
507,herdier,507,9,147,130,552,1,507,ハーデリア,陸上
508,stoutland,508,12,610,221,553,1,508,ムーランド,陸上
509,purrloin,509,4,101,56,554,1,509,チョロネコ,陸上
510,liepard,510,11,375,156,555,1,510,レパルダス,陸上
511,pansage,511,6,105,63,556,1,511,ヤナップ,陸上
512,simisage,512,11,305,174,557,1,512,ヤナッキー,陸上
513,pansear,513,6,110,63,558,1,513,バオップ,陸上
514,simisear,514,10,280,174,559,1,514,バオッキー,陸上
515,panpour,515,6,135,63,560,1,515,ヒヤップ,陸上
516,simipour,516,10,290,174,561,1,516,ヒヤッキー,陸上
517,munna,517,6,233,58,562,1,517,ムンナ,陸上
518,musharna,518,11,605,170,563,1,518,ムシャーナ,陸上
519,pidove,519,3,21,53,564,1,519,マメパト,飛行
520,tranquill,520,6,150,125,565,1,520,ハトーボー,飛行
521,unfezant,521,12,290,215,566,1,521,ケンホロウ,飛行
522,blitzle,522,8,298,59,567,1,522,シママ,陸上
523,zebstrika,523,16,795,174,568,1,523,ゼブライカ,陸上
524,roggenrola,524,4,180,56,569,1,524,ダンゴロ,鉱物
525,boldore,525,9,1020,137,570,1,525,ガントル,鉱物
526,gigalith,526,17,2600,227,571,1,526,ギガイアス,鉱物
527,woobat,527,4,21,63,572,1,527,コロモリ,陸上飛行
528,swoobat,528,9,105,149,573,1,528,ココロモリ,陸上飛行
529,drilbur,529,3,85,66,574,1,529,モグリュー,陸上
530,excadrill,530,7,404,178,575,1,530,ドリュウズ,陸上
531,audino,531,11,310,390,576,1,531,タブンネ,妖精
532,timburr,532,6,125,61,577,1,532,ドッコラー,人型
533,gurdurr,533,12,400,142,578,1,533,ドテッコツ,人型
534,conkeldurr,534,14,870,227,579,1,534,ローブシン,人型
535,tympole,535,5,45,59,580,1,535,オタマロ,水中1
536,palpitoad,536,8,170,134,581,1,536,ガマガル,水中1
537,seismitoad,537,15,620,225,582,1,537,ガマゲロゲ,水中1
538,throh,538,13,555,163,583,1,538,ナゲキ,人型
539,sawk,539,14,510,163,584,1,539,ダゲキ,人型
540,sewaddle,540,3,25,62,585,1,540,クルミル,虫
541,swadloon,541,5,73,133,586,1,541,クルマユ,虫
542,leavanny,542,12,205,221,587,1,542,ハハコモリ,虫
543,venipede,543,4,53,52,588,1,543,フシデ,虫
544,whirlipede,544,12,585,126,589,1,544,ホイーガ,虫
545,scolipede,545,25,2005,214,590,1,545,ペンドラー,虫
546,cottonee,546,3,6,56,591,1,546,モンメン,植物妖精
547,whimsicott,547,7,66,168,592,1,547,エルフーン,植物妖精
548,petilil,548,5,66,56,593,1,548,チュリネ,植物
549,lilligant,549,11,163,168,594,1,549,ドレディア,植物
550,basculin-red-striped,550,10,180,161,595,1,550,バスラオ赤,水中2
551,sandile,551,7,152,58,597,1,551,メグロコ,陸上
552,krokorok,552,10,334,123,598,1,552,ワルビル,陸上
553,krookodile,553,15,963,229,599,1,553,ワルビアル,陸上
554,darumaka,554,6,375,63,600,1,554,ダルマッカ,陸上
555,darmanitan-standard,555,13,929,168,601,1,555,ヒヒダルマN,陸上
556,maractus,556,10,280,161,603,1,556,マラカッチ,植物
557,dwebble,557,3,145,65,604,1,557,イシズマイ,虫鉱物
558,crustle,558,14,2000,166,605,1,558,イワパレス,虫鉱物
559,scraggy,559,6,118,70,606,1,559,ズルッグ,陸上ドラゴン
560,scrafty,560,11,300,171,607,1,560,ズルズキン,陸上ドラゴン
561,sigilyph,561,14,140,172,608,1,561,シンボラー,飛行
562,yamask,562,5,15,61,609,1,562,デスマス,鉱物不定形
563,cofagrigus,563,17,765,169,610,1,563,デスカーン,鉱物不定形
564,tirtouga,564,7,165,71,611,1,564,プロトーガ,水中1水中3
565,carracosta,565,12,810,173,612,1,565,アバゴーラ,水中1水中3
566,archen,566,5,95,71,613,1,566,アーケン,飛行水中3
567,archeops,567,14,320,177,614,1,567,アーケオス,飛行水中3
568,trubbish,568,6,310,66,615,1,568,ヤブクロン,鉱物
569,garbodor,569,19,1073,166,616,1,569,ダストダス,鉱物
570,zorua,570,7,125,66,617,1,570,ゾロア,陸上
571,zoroark,571,16,811,179,618,1,571,ゾロアーク,陸上
572,minccino,572,4,58,60,619,1,572,チラーミィ,陸上
573,cinccino,573,5,75,165,620,1,573,チラチーノ,陸上
574,gothita,574,4,58,58,621,1,574,ゴチム,人型
575,gothorita,575,7,180,137,622,1,575,ゴチミル,人型
576,gothitelle,576,15,440,221,623,1,576,ゴチルゼル,人型
577,solosis,577,3,10,58,624,1,577,ユニラン,不定形
578,duosion,578,6,80,130,625,1,578,ダブラン,不定形
579,reuniclus,579,10,201,221,626,1,579,ランクルス,不定形
580,ducklett,580,5,55,61,627,1,580,コアルヒー,水中1飛行
581,swanna,581,13,242,166,628,1,581,スワンナ,水中1飛行
582,vanillite,582,4,57,61,629,1,582,バニプッチ,鉱物
583,vanillish,583,11,410,138,630,1,583,バニリッチ,鉱物
584,vanilluxe,584,13,575,241,631,1,584,バイバニラ,鉱物
585,deerling,585,6,195,67,632,1,585,シキジカ,陸上
586,sawsbuck,586,19,925,166,633,1,586,メブキジカ,陸上
587,emolga,587,4,50,150,634,1,587,エモンガ,陸上
588,karrablast,588,5,59,63,635,1,588,カブルモ,虫
589,escavalier,589,10,330,173,636,1,589,シュバルゴ,虫
590,foongus,590,2,10,59,637,1,590,タマゲタケ,植物
591,amoonguss,591,6,105,162,638,1,591,モロバレル,植物
592,frillish,592,12,330,67,639,1,592,プルリル,不定形
593,jellicent,593,22,1350,168,640,1,593,ブルンゲル,不定形
594,alomomola,594,12,316,165,641,1,594,ママンボウ,水中1水中2
595,joltik,595,1,6,64,642,1,595,バチュル,虫
596,galvantula,596,8,143,165,643,1,596,デンチュラ,虫
597,ferroseed,597,6,188,61,644,1,597,テッシード,植物鉱物
598,ferrothorn,598,10,1100,171,645,1,598,ナットレイ,植物鉱物
599,klink,599,3,210,60,646,1,599,ギアル,鉱物
600,klang,600,6,510,154,647,1,600,ギギアル,鉱物
601,klinklang,601,6,810,234,648,1,601,ギギギアル,鉱物
602,tynamo,602,2,3,55,649,1,602,シビシラス,不定形
603,eelektrik,603,12,220,142,650,1,603,シビビール,不定形
604,eelektross,604,21,805,232,651,1,604,シビルドン,不定形
605,elgyem,605,5,90,67,652,1,605,リグレー,人型
606,beheeyem,606,10,345,170,653,1,606,オーベム,人型
607,litwick,607,3,31,55,654,1,607,ヒトモシ,不定形
608,lampent,608,6,130,130,655,1,608,ランプラー,不定形
609,chandelure,609,10,343,234,656,1,609,シャンデラ,不定形
610,axew,610,6,180,64,657,1,610,キバゴ,怪獣ドラゴン
611,fraxure,611,10,360,144,658,1,611,オノンド,怪獣ドラゴン
612,haxorus,612,18,1055,243,659,1,612,オノノクス,怪獣ドラゴン
613,cubchoo,613,5,85,61,660,1,613,クマシュン,陸上
614,beartic,614,26,2600,170,661,1,614,ツンベアー,陸上
615,cryogonal,615,11,1480,170,662,1,615,フリージオ,鉱物
616,shelmet,616,4,77,61,663,1,616,チョボマキ,虫
617,accelgor,617,8,253,173,664,1,617,アギルダー,虫
618,stunfisk,618,7,110,165,665,1,618,マッギョ,水中1不定形
619,mienfoo,619,9,200,70,666,1,619,コジョフー,陸上人型
620,mienshao,620,14,355,179,667,1,620,コジョンド,陸上人型
621,druddigon,621,16,1390,170,668,1,621,クリムガン,ドラゴン怪獣
622,golett,622,10,920,61,669,1,622,ゴビット,鉱物
623,golurk,623,28,3300,169,670,1,623,ゴルーグ,鉱物
624,pawniard,624,5,102,68,671,1,624,コマタナ,人型
625,bisharp,625,16,700,172,672,1,625,キリキザン,人型
626,bouffalant,626,16,946,172,673,1,626,バッフロン,陸上
627,rufflet,627,5,105,70,674,1,627,ワシボン,飛行
628,braviary,628,15,410,179,675,1,628,ウォーグル,飛行
629,vullaby,629,5,90,74,676,1,629,バルチャイ,飛行
630,mandibuzz,630,12,395,179,677,1,630,バルジーナ,飛行
631,heatmor,631,14,580,169,678,1,631,クイタラン,陸上
632,durant,632,3,330,169,679,1,632,アイアント,虫
633,deino,633,8,173,60,680,1,633,モノズ,ドラゴン
634,zweilous,634,14,500,147,681,1,634,ジヘッド,ドラゴン
635,hydreigon,635,18,1600,270,682,1,635,サザンドラ,ドラゴン
636,larvesta,636,11,288,72,683,1,636,メラルバ,虫
637,volcarona,637,16,460,248,684,1,637,ウルガモス,虫
638,cobalion,638,21,2500,261,685,1,638,コバルオン,未発見
639,terrakion,639,19,2600,261,686,1,639,テラキオン,未発見
640,virizion,640,20,2000,261,687,1,640,ビリジオン,未発見
641,tornadus-incarnate,641,15,630,261,688,1,641,トルネロス化身,未発見
642,thundurus-incarnate,642,15,610,261,690,1,642,ボルトロス化身,未発見
643,reshiram,643,32,3300,306,692,1,643,レシラム,未発見
644,zekrom,644,29,3450,306,693,1,644,ゼクロム,未発見
645,landorus-incarnate,645,15,680,270,694,1,645,ランドロス化身,未発見
646,kyurem,646,30,3250,297,696,1,646,キュレム,未発見
647,keldeo-ordinary,647,14,485,261,699,1,647,ケルディオ,未発見
648,meloetta-aria,648,6,65,270,701,1,648,メロエッタＶ,未発見
649,genesect,649,15,825,270,703,1,649,ゲノセクト,未発見
650,chespin,650,0,0,0,704,1,650,ハリマロン,陸上
651,quilladin,651,0,0,0,705,1,651,ハリボーグ,陸上
652,chesnaught,652,0,0,0,706,1,652,ブリガロン,陸上
653,fennekin,653,0,0,0,707,1,653,フォッコ,陸上
654,braixen,654,0,0,0,708,1,654,テールナー,陸上
655,delphox,655,0,0,0,709,1,655,マフォクシー,陸上
656,froakie,656,0,0,0,710,1,656,ケロマツ,水中1
657,frogadier,657,0,0,0,711,1,657,ゲコガシラ,水中1
658,greninja,658,0,0,0,712,1,658,ゲッコウガ,水中1
659,bunnelby,659,0,0,0,713,1,659,ホルビー,陸上
660,diggersby,660,0,0,0,714,1,660,ホルード,陸上
661,fletchling,661,0,0,0,715,1,661,ヤヤコマ,飛行
662,fletchinder,662,0,0,0,716,1,662,ヒノヤコマ,飛行
663,talonflame,663,0,0,0,717,1,663,ファイアロー,飛行
664,scatterbug,664,0,0,0,718,1,664,コフキムシ,虫
665,spewpa,665,0,0,0,719,1,665,コフーライ,虫
666,vivillon,666,0,0,0,720,1,666,ビビヨン,虫
667,litleo,667,0,0,0,721,1,667,シシコ,陸上
668,pyroar,668,0,0,0,722,1,668,カエンジシ,陸上
669,flabebe,669,0,0,0,723,1,669,フラベベ,妖精
670,floette,670,0,0,0,724,1,670,フラエッテ,妖精
671,florges,671,0,0,0,725,1,671,フラージェス,妖精
672,skiddo,672,0,0,0,726,1,672,メェークル,陸上
673,gogoat,673,0,0,0,727,1,673,ゴーゴート,陸上
674,pancham,674,0,0,0,728,1,674,ヤンチャム,陸上人型
675,pangoro,675,0,0,0,729,1,675,ゴロンダ,陸上人型
676,furfrou,676,0,0,0,730,1,676,トリミアン,陸上
677,espurr,677,0,0,0,731,1,677,ニャスパー,陸上
678,meowstic-male,678,0,0,0,732,1,678,ニャオニクス♂,陸上
679,honedge,679,0,0,0,734,1,679,ヒトツキ,鉱物
680,doublade,680,0,0,0,735,1,680,ニダンギル,鉱物
681,aegislash-shield,681,0,0,0,736,1,681,ギルガルド盾,妖精
682,spritzee,682,0,0,0,738,1,682,シュシュプ,妖精
683,aromatisse,683,0,0,0,739,1,683,フレフワン,妖精
684,swirlix,684,0,0,0,740,1,684,ペロッパフ,妖精
685,slurpuff,685,0,0,0,741,1,685,ペロリーム,妖精
686,inkay,686,0,0,0,742,1,686,マーイーカ,水中1水中2
687,malamar,687,0,0,0,743,1,687,カラマネロ,水中1水中2
688,binacle,688,0,0,0,744,1,688,カメテテ,水中3
689,barbaracle,689,0,0,0,745,1,689,ガメノデス,水中3
690,skrelp,690,0,0,0,746,1,690,クズモー,水中1ドラゴン
691,dragalge,691,0,0,0,747,1,691,ドラミドロ,水中1ドラゴン
692,clauncher,692,0,0,0,748,1,692,ウデッポウ,水中1水中3
693,clawitzer,693,0,0,0,749,1,693,ブロスター,水中1水中3
694,helioptile,694,0,0,0,750,1,694,エリキテル,怪獣ドラゴン
695,heliolisk,695,0,0,0,751,1,695,エレザード,怪獣ドラゴン
696,tyrunt,696,0,0,0,752,1,696,チゴラス,怪獣ドラゴン
697,tyrantrum,697,0,0,0,753,1,697,ガチゴラス,怪獣ドラゴン
698,amaura,698,0,0,0,754,1,698,アマルス,怪獣
699,aurorus,699,0,0,0,755,1,699,アマルルガ,怪獣
700,sylveon,700,0,0,0,175,1,700,ニンフィア,陸上
701,hawlucha,701,0,0,0,756,1,701,ルチャブル,人型
702,dedenne,702,0,0,0,757,1,702,デデンネ,陸上妖精
703,carbink,703,0,0,0,758,1,703,メレシー,妖精鉱物
704,goomy,704,0,0,0,759,1,704,ヌメラ,ドラゴン
705,sliggoo,705,0,0,0,760,1,705,ヌメイル,ドラゴン
706,goodra,706,0,0,0,761,1,706,ヌメルゴン,ドラゴン
707,klefki,707,0,0,0,762,1,707,クレッフィ,鉱物
708,phantump,708,0,0,0,763,1,708,ボクレー,植物不定形
709,trevenant,709,0,0,0,764,1,709,オーロット,植物不定形
710,pumpkaboo-average,710,0,0,0,765,1,710,バケッチャ,不定形
711,gourgeist-average,711,0,0,0,769,1,711,パンプジン,不定形
712,bergmite,712,0,0,0,773,1,712,カチコール,怪獣
713,avalugg,713,0,0,0,774,1,713,クレベース,怪獣
714,noibat,714,0,0,0,775,1,714,オンバット,飛行
715,noivern,715,0,0,0,776,1,715,オンバーン,飛行
716,xerneas,716,0,0,0,777,1,716,ゼルネアス,未発見
717,yveltal,717,0,0,0,778,1,717,イベルタル,未発見
718,zygarde,718,0,0,0,779,1,718,ジガルデ,未発見
